evaluated_model,scorer_models,avg_mean_P,avg_mean_R,avg_mean_F1,sd_across_scorers_F1,best_scorer_F1,worst_scorer_F1,avg_bootstrap_ci95_low_F1,avg_bootstrap_ci95_high_F1
Gemma tuned,14,0.7150603741496598,0.7395731972789116,0.7239701020408164,0.07909128316050724,0.8928738095238096,0.59293,0.7076226037414967,0.7404086581632653
Llama tuned,14,0.7033173809523809,0.7366701700680272,0.7166297278911564,0.0823573628670182,0.8892357142857144,0.5794295238095238,0.7017457882653061,0.7317408852040816
Llama not tuned,14,0.7012524489795918,0.7175688775510204,0.7063296938775511,0.08554372117356555,0.8861271428571429,0.5636919047619048,0.6910107797619048,0.7218515688775511
Gemma not tuned,14,0.7110182993197279,0.6997423469387755,0.7025331632653061,0.0863328800530393,0.8852633333333334,0.5563695238095239,0.6858765229591837,0.719606850340136
Gemini baseline,14,0.5466593537414967,0.7214216326530611,0.6189594557823129,0.10737570614181097,0.8400957142857143,0.4780928571428571,0.613279418367347,0.6247662576530612
