model,n_total,n_valid,n_errors,mean_score,median_score,std_score,n_CORRECT,pct_CORRECT,n_PARTIALLY_CORRECT,pct_PARTIALLY_CORRECT,n_INCORRECT,pct_INCORRECT,n_HALLUCINATED,pct_HALLUCINATED
Gemini baseline,210,210,0,74.24,95.0,34.75,116,55.2,36,17.1,33,15.7,25,11.9
Llama tuned,210,210,0,70.14,80.0,31.18,83,39.5,68,32.4,47,22.4,12,5.7
Gemma tuned,210,210,0,66.79,75.0,30.72,69,32.9,79,37.6,54,25.7,8,3.8
Llama not tuned,115,114,1,66.27,75.0,30.89,37,32.5,44,38.6,29,25.4,4,3.5
Gemma not tuned,210,210,0,61.05,65.0,32.83,62,29.5,65,31.0,71,33.8,12,5.7
