name,description,avg_f1,key_info_pct,fallback_pct,avg_time_s,n
baseline,"k=3, chunk=500, MMR, MiniLM",0.43785660735682386,90.0,8.0,1.49499596118927,50
k5,"k=5, chunk=500, MMR, MiniLM",0.4778928926189887,92.0,4.0,1.495906252861023,50
k7,"k=7, chunk=500, MMR, MiniLM",0.5158040252119522,92.0,2.0,1.5829594945907592,50
chunk300,"k=3, chunk=300, MMR, MiniLM",0.39346394269066254,78.0,10.0,1.0955363416671753,50
chunk700,"k=3, chunk=700, MMR, MiniLM",0.40871503664993125,78.0,10.0,1.2941754055023194,50
similarity_k5,"k=5, chunk=500, similarity, MiniLM",0.4500819219595671,86.0,4.0,1.2843757009506225,50
mpnet_k5,"k=5, chunk=500, MMR, mpnet",0.4755617391825321,88.0,4.0,1.4319278240203857,50
